omega0,L_int,width,label
3767303134617706.5,1.2827804357041458e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,1.787127240024239e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,2.4897665127574977e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,3.468660288544734e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,4.8324226933238975e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,6.7323713319729965e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,9.379316882645474e-06,1.7779964894686726,$\omega_0$
3767303134617706.5,1.3066953803823737e-05,1.774114401063719,$\omega_0$
3767303134617706.5,1.8204447493099756e-05,1.7702323126587654,$\omega_0$
3767303134617706.5,2.5361833638077836e-05,1.766350224253812,$\omega_0$
3767303134617706.5,3.533326708922886e-05,1.7508218706339984,$\omega_0$
3767303134617706.5,4.922513809586688e-05,1.7236472517993247,$\omega_0$
3767303134617706.5,6.85788329292605e-05,1.6809442793448366,$\omega_0$
3767303134617706.5,9.554175991909122e-05,1.6188308648655818,$\omega_0$
3767303134617706.5,0.00013310561726608984,1.5062503011219321,$\omega_0$
3767303134617706.5,0.00018543833987138587,1.3121458808742605,$\omega_0$
3767303134617706.5,0.00025834655667094974,1.0132250736928463,$\omega_0$
3767303134617706.5,0.00035991987088553,0.698775912891618,$\omega_0$
3767303134617706.5,0.0005014284499377004,0.4813789622142257,$\omega_0$
3767303134617706.5,0.0006985735180119866,0.3377416912309487,$\omega_0$
3767303134617706.5,0.000973229500895443,0.2368073927021593,$\omega_0$
3767303134617706.5,0.0013558711245005152,0.16692980141299757,$\omega_0$
3767303134617706.5,0.0018889547681845238,0.12034474055355643,$\omega_0$
3767303134617706.5,0.002631629254263754,0.08540594490897549,$\omega_0$
3767303134617706.5,0.0036662987640264572,0.05823132607430151,$\omega_0$
3767303134617706.5,0.005107766075074469,0.042702972454487745,$\omega_0$
3767303134617706.5,0.007115970616925247,0.02717461883467413,$\omega_0$
3767303134617706.5,0.009913734708417566,0.01941044202476717,$\omega_0$
4709128918272133.0,6.609156472278377e-07,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,9.207658018815713e-07,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,1.2827804357041458e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,1.787127240024239e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,2.4897665127574977e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,3.468660288544734e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,4.8324226933238975e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,6.7323713319729965e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,9.379316882645474e-06,1.8362278155429739,"$1.25\,\omega_0$"
4709128918272133.0,1.3066953803823737e-05,1.8323457271380206,"$1.25\,\omega_0$"
