omega0,L_int,width,label
686248994860760.2,0.5478383107115478,0.36580361504640946,"$0.564621617328617\,\omega_0$"
686248994860760.2,0.641398090148899,0.38768930141670743,"$0.564621617328617\,\omega_0$"
686248994860760.2,0.7509360006464835,0.41309233023937475,"$0.564621617328617\,\omega_0$"
686248994860760.2,0.8791807860482189,0.4330239374694676,"$0.564621617328617\,\omega_0$"
686248994860760.2,1.0293272048362592,0.4467024914509038,"$0.564621617328617\,\omega_0$"
686248994860760.2,1.205115616070705,0.4549096238397656,"$0.564621617328617\,\omega_0$"
686248994860760.2,1.4109251570092343,0.459599413776258,"$0.564621617328617\,\omega_0$"
686248994860760.2,1.6518828335925702,0.45999022960429903,"$0.564621617328617\,\omega_0$"
686248994860760.2,1.9339912413936493,0.4529555446995604,"$0.564621617328617\,\omega_0$"
686248994860760.2,2.2642780987394677,0.42247191011235957,"$0.564621617328617\,\omega_0$"
686248994860760.2,2.650971317086573,0.1070835368832438,"$0.564621617328617\,\omega_0$"
686248994860760.2,3.103703969900181,0.08871519296531509,"$0.564621617328617\,\omega_0$"
686248994860760.2,3.633754266100781,0.07425500732779675,"$0.564621617328617\,\omega_0$"
686248994860760.2,4.254326506155255,0.06213971665852469,"$0.564621617328617\,\omega_0$"
686248994860760.2,4.9808800198249825,0.05276013678553987,"$0.564621617328617\,\omega_0$"
686248994860760.2,5.831514279874208,0.04455300439667812,"$0.564621617328617\,\omega_0$"
686248994860760.2,6.82741978546428,0.03790913531998044,"$0.564621617328617\,\omega_0$"
686248994860760.2,7.9934059473750665,0.032437713727405997,"$0.564621617328617\,\omega_0$"
686248994860760.2,9.358519125418928,0.027357107962872548,"$0.564621617328617\,\omega_0$"
941455603851034.2,0.4679259562709465,0.5276013678553982,"$0.7745966692414834\,\omega_0$"
941455603851034.2,0.5478383107115478,0.49125549584758194,"$0.7745966692414834\,\omega_0$"
941455603851034.2,0.641398090148899,0.43771372740595993,"$0.7745966692414834\,\omega_0$"
941455603851034.2,0.7509360006464835,0.35798729848558875,"$0.7745966692414834\,\omega_0$"
941455603851034.2,0.8791807860482189,0.26419149975574013,"$0.7745966692414834\,\omega_0$"
941455603851034.2,1.0293272048362592,0.20517830972154377,"$0.7745966692414834\,\omega_0$"
941455603851034.2,1.205115616070705,0.1668783585735222,"$0.7745966692414834\,\omega_0$"
941455603851034.2,1.4109251570092343,0.13795798729848557,"$0.7745966692414834\,\omega_0$"
941455603851034.2,1.6518828335925702,0.11529066927210556,"$0.7745966692414834\,\omega_0$"
941455603851034.2,1.9339912413936493,0.09731314118221791,"$0.7745966692414834\,\omega_0$"
941455603851034.2,2.2642780987394677,0.08246213971665849,"$0.7745966692414834\,\omega_0$"
941455603851034.2,2.650971317086573,0.06995603321934545,"$0.7745966692414834\,\omega_0$"
941455603851034.2,3.103703969900181,0.05940400586223739,"$0.7745966692414834\,\omega_0$"
941455603851034.2,3.633754266100781,0.05041524181729364,"$0.7745966692414834\,\omega_0$"
941455603851034.2,4.254326506155255,0.04298974108451397,"$0.7745966692414834\,\omega_0$"
941455603851034.2,4.9808800198249825,0.0367366878358573,"$0.7745966692414834\,\omega_0$"
941455603851034.2,5.831514279874208,0.030874450415241846,"$0.7745966692414834\,\omega_0$"
941455603851034.2,6.82741978546428,0.026575476306790472,"$0.7745966692414834\,\omega_0$"
941455603851034.2,7.9934059473750665,0.022276502198339022,"$0.7745966692414834\,\omega_0$"
941455603851034.2,9.358519125418928,0.019149975574010724,"$0.7745966692414834\,\omega_0$"
1291570057894734.5,0.4679259562709465,0.3271128480703469,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,0.5478383107115478,0.26809965803615043,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,0.641398090148899,0.2212017586712262,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,0.7509360006464835,0.1844650708353688,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,0.8791807860482189,0.15476306790425012,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,1.0293272048362592,0.13131411822178807,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,1.205115616070705,0.1109916951636541,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,1.4109251570092343,0.09418661455788961,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,1.6518828335925702,0.07972642892037127,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,1.9339912413936493,0.06839276990718121,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,2.2642780987394677,0.057840742550073244,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,2.650971317086573,0.04924279433317049,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,3.103703969900181,0.042208109428431895,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,3.633754266100781,0.03595505617977522,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,4.254326506155255,0.03048363458720077,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,4.9808800198249825,0.026184660478749396,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,5.831514279874208,0.022276502198339022,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,6.82741978546428,0.018759159745969648,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,7.9934059473750665,0.0160234489496825,"$1.0626585691826111\,\omega_0$"
1291570057894734.5,9.358519125418928,0.013678553981436274,"$1.0626585691826111\,\omega_0$"
1771887285631536.0,0.4679259562709465,0.20986809965803613,"$1.457846747214954\,\omega_0$"
1771887285631536.0,0.5478383107115478,0.1774303859306302,"$1.457846747214954\,\omega_0$"
1771887285631536.0,0.641398090148899,0.15085490962383977,"$1.457846747214954\,\omega_0$"
1771887285631536.0,0.7509360006464835,0.12818759159745968,"$1.457846747214954\,\omega_0$"
1771887285631536.0,0.8791807860482189,0.10903761602344889,"$1.457846747214954\,\omega_0$"
1771887285631536.0,1.0293272048362592,0.09262335124572546,"$1.457846747214954\,\omega_0$"
1771887285631536.0,1.205115616070705,0.07894479726428927,"$1.457846747214954\,\omega_0$"
1771887285631536.0,1.4109251570092343,0.06722032242305814,"$1.457846747214954\,\omega_0$"
1771887285631536.0,1.6518828335925702,0.057449926722032245,"$1.457846747214954\,\omega_0$"
1771887285631536.0,1.9339912413936493,0.048851978505129415,"$1.457846747214954\,\omega_0$"
1771887285631536.0,2.2642780987394677,0.04181729360039082,"$1.457846747214954\,\omega_0$"
1771887285631536.0,2.650971317086573,0.03556424035173422,"$1.457846747214954\,\omega_0$"
1771887285631536.0,3.103703969900181,0.03009281875915977,"$1.457846747214954\,\omega_0$"
