sigmaE,L_int,width,label
0.06409305095943511,1.1192319592385571,0.1269962944267068,"$0.64\,\sigma_E$"
0.06409305095943511,1.399685701000387,0.10044480091737559,"$0.64\,\sigma_E$"
0.06409305095943511,1.7504146887636995,0.0796544805279936,"$0.64\,\sigma_E$"
0.06409305095943511,2.189028280027326,0.06362339010726532,"$0.64\,\sigma_E$"
0.06409305095943511,2.737548331557836,0.050598129140423616,"$0.64\,\sigma_E$"
0.06409305095943511,3.423514870041578,0.04057869762746843,"$0.64\,\sigma_E$"
0.06409305095943511,4.2813688183273575,0.032312666629280444,"$0.64\,\sigma_E$"
0.06409305095943511,5.354181201007369,0.025549550358035668,"$0.64\,\sigma_E$"
0.06409305095943511,6.695815649075615,0.020289348813734252,"$0.64\,\sigma_E$"
0.06409305095943511,8.373632778429421,0.016281576208552164,"$0.64\,\sigma_E$"
0.06409305095943511,10.47187222331422,0.013025260966841715,"$0.64\,\sigma_E$"
0.06409305095943511,13.095882129427228,0.010269917300779028,"$0.64\,\sigma_E$"
0.06409305095943511,16.377408460544906,0.008266030998187984,"$0.64\,\sigma_E$"
0.15000000000000005,0.23396297800778434,0.7480214948705425,"$1.50\,\sigma_E$"
0.15000000000000005,0.2925887097646437,0.7527112848070349,"$1.50\,\sigma_E$"
0.15000000000000005,0.36590469915667856,0.7351245725451883,"$1.50\,\sigma_E$"
0.15000000000000005,0.4575919862821658,0.610845139228139,"$1.50\,\sigma_E$"
0.15000000000000005,0.5722539950764554,0.3171470444553005,"$1.50\,\sigma_E$"
0.15000000000000005,0.7156476614497188,0.22393746946751353,"$1.50\,\sigma_E$"
0.15000000000000005,0.8949724768108014,0.17059110893991208,"$1.50\,\sigma_E$"
0.15000000000000005,1.1192319592385571,0.13248656570591114,"$1.50\,\sigma_E$"
0.15000000000000005,1.399685701000387,0.10434782608695659,"$1.50\,\sigma_E$"
0.15000000000000005,1.7504146887636995,0.08265754763067906,"$1.50\,\sigma_E$"
0.15000000000000005,2.189028280027326,0.06565705911089399,"$1.50\,\sigma_E$"
0.15000000000000005,2.737548331557836,0.05217391304347829,"$1.50\,\sigma_E$"
0.15000000000000005,3.423514870041578,0.04162188568637032,"$1.50\,\sigma_E$"
0.15000000000000005,4.2813688183273575,0.03341475329750857,"$1.50\,\sigma_E$"
0.15000000000000005,5.354181201007369,0.026380068392769896,"$1.50\,\sigma_E$"
0.15000000000000005,6.695815649075615,0.021104054714215947,"$1.50\,\sigma_E$"
0.15000000000000005,8.373632778429421,0.016414264777723498,"$1.50\,\sigma_E$"
0.15000000000000005,10.47187222331422,0.013483146067415774,"$1.50\,\sigma_E$"
0.15000000000000005,13.095882129427228,0.009965803615046398,"$1.50\,\sigma_E$"
0.15000000000000005,16.377408460544906,0.008207132388861749,"$1.50\,\sigma_E$"
